datasetKey	publishingCountry	occCount	datasetTitle	percentNN	distanceNN	countNN	uniqueLatLon	lastUpdated	numberSampled
012ce6fa-5b67-4871-9a5c-5a187ccf54a3	MX	15300	Base de datos de colecciones de maíces nativos, teocintles y Tripsacum de México	0.161490683229814	0.02	26	235	2018-09-13	1000
014e217e-d654-4a10-9b54-185053761b9e	MX	5300	Actualización de la base de datos de diversidad taxonómica de las larvas de peces de Bahía Vizcaíno	0.107142857142857	0.19	6	56	2018-09-13	1000
014ffcc4-58fc-495f-890c-11eb2dcb62e2	US	59335	USGS South Florida Fish and Invertebrate Assessment Network Crustaceans	1	0.02	5	237	2018-09-13	1000
0159cf6b-6a46-4365-96f1-d7ca2511f082	MX	14122	Algunas especies de anfibios y reptiles contenidos en el Proyecto de Norma Oficial Mexicana PROY-NOM-059-ECOL-2000	0.169117647058824	0.03	23	195	2018-09-13	1000
015ff14b-bc6e-4631-a34c-2af4f512c888	BJ	1348	Inventory of Wari maro forest (Benin)	1	0.02	73	75	2018-09-13	1000
017c7c7e-9c1b-4fe8-b849-277848eebfde	MX	10616	Evaluación estacional de la fauna ictiológica, malacológica y flora ficológica de la Reserva de la Biósfera El Vizcaino, BCS, Fase I: Laguna Ojo de Liebre	0.588235294117647	0.02	10	22	2018-09-13	1000
01981814-35ca-4637-bba8-90ab22f2b68e	JP	9461	Fern (Pteridophyta) specimens of Toyama Science Museum	0.490196078431373	0.02	100	208	2018-09-13	1000
01c5963f-25c7-4361-8ee8-30f6a6ff98e4	CO	336	Especies de Anacroneuria (Insecta: Plecoptera: Perlidae) de Colombia, depositadas en el Museo de Entomología de la Universidad del Valle (Cali, Colombia)	0.2125	0.02	17	112	2018-09-13	1000
01cbf8a9-0457-4abe-b34a-9343765676aa	FR	748	Occurrence de Mammifères l'Association ATHENA (41) du Perche en Région Centre	0.857142857142857	0.09	30	35	2018-09-13	1000
01d9098d-7dec-4235-b783-c537478cd4c2	FR	16540	Inventaire des Mammifères marins de France (métropole et outre-mer)	0.605744125326371	0.09	464	766	2018-09-13	1000
01e416c5-1ba7-42b7-9402-17ddfd651cca	FR	1824	Données bibliographiques sur les Ichneumonidae de France	0.495327102803738	0.09	53	107	2018-09-13	1000
01e71491-0712-47f5-95a0-55a43f44fddc	CR	31917	Mollusca of Costa Rica (INBio)	0.333333333333333	0.02	6	41	2018-09-13	1000
01ebc7a6-18ad-4755-a619-dfeccba0eb57	AD	8857	Artròpodes d'Andorra	0.333333333333333	0.08	2	31	2018-09-13	1000
01fdde0a-a371-45b6-a6a2-5656d57e3280	DE	375	ZFMK Phthiraptera collection	0.0263157894736842	20.26	2	76	2018-09-13	1000
0214a6a7-898f-4ee8-b888-0be60ecde81f	FR	198739	The molluscs collection (IM) of the Muséum national d'Histoire naturelle (MNHN - Paris)	0.380952380952381	0.02	16	107	2018-09-13	1000
02242d2f-b43f-44d1-8e53-4c51af461f5b	US	58475	Oregon State University Herpetological Collection	0.121951219512195	0.03	5	43	2018-09-13	1000
0233af7f-11ae-491e-be56-a4038ecf6585	GB	9305	BLS Rare and Threatened Lichen Records: Wales	0.260504201680672	0.02	31	460	2018-09-13	1000
025769ee-df28-40de-bead-69fe1259bbad	BJ	920	Annotated list of observed birds in W and Pendjari Reserves in Benin, February 2010	0.148148148148148	0.14	4	31	2018-09-13	1000
026af01f-d227-476f-9e81-d5273eca6a2b	UG	57218	National Biodiversity Data Bank. Observation records, 1900-2014	0.307692307692308	0.05	8	96	2018-09-13	1000
027c10bb-9fab-4236-982f-224d0f749c49	CO	227	Colección de Salamandras Museo de La Salle Bogotá (MLS)	0.142857142857143	0.02	3	21	2018-09-13	1000
0284b82d-cdd1-4d67-83bd-c8e42e988adb	GB	153570	Merseyside BioBank (unverified)	0.647058823529412	0.02	33	62	2018-09-13	1000
028da6e9-b2c7-4a66-90ee-3fc1670f6e8f	IE	373	Otter survey of Ireland 2004 & 2005	0.132075471698113	0.07	49	373	2018-09-13	1000
02b3bdaa-07dc-45b3-a761-7580d4bdcdb4	GB	268	Woodland Survey	0.111111111111111	0.46	2	23	2018-09-13	1000
02cc981e-d1d8-4ea6-9db5-dfb73acca024	JP	814	Chironomid Specimen records in the Chironomid DNA Barcode Database.	0.1	0.02	17	222	2018-09-13	1000
02d1e772-54ee-4767-b4b8-c35f0c7270ba	GB	1715185	NBIS Records to December 2016	0.864864864864865	0.09	32	81	2018-09-13	1000
02dd359e-895c-4082-b80e-0433dd4ea95e	CA	1365	ACCDC: Rare Species in Atlantic Canada and Adjacent Marine Waters	0.177914110429448	0.03	87	738	2018-09-13	1000
030340f4-caa1-4337-a18b-a8d52a3fddfc	BG	71	Occurrence data of Ectyphus and Parectyphus (Diptera: Asiloidea: Mydidae)	0.0975609756097561	0.19	4	41	2018-09-13	1000
0310b080-ec4b-11dc-b73e-b8a03c50a862	BE	13089	Ghent  University - Zoology Museum - Vertebrate collection	0.0869565217391304	18.61	2	23	2018-09-13	1000
0321b03b-4a84-4d80-8bfe-0a23949588cb	RU	10730	Specimens of lichen herbarium KPABG	0.214285714285714	0.02	12	147	2018-09-13	1000
03381bbc-ae81-4a9f-b317-09e1716d8849	CO	15590	Colección Zoológica de la Universidad del Tolima (CZUT)- Ictiología	0.167224080267559	0.02	50	493	2018-09-13	1000
0348540a-e644-4496-89d3-c257da9ad776	CA	138467	Marie-Victorin Herbarium (MT) - Plantes vasculaires	0.195121951219512	0.02	24	479	2018-09-13	1000
035941f6-46af-457b-9c23-bfb21ffd0904	FR	10293	Expédition Karubenthos 2012 : inventaire des Mollusques et des Crustacés de la Guadeloupe	0.964285714285714	0.09	27	28	2018-09-13	1000
035c61a1-b2a0-4c10-bf96-577997b3b21a	ES	3395	CeDoc de Biodiversitat Vegetal: BCN-Bryophyta	0.350649350649351	0.09	54	154	2018-09-13	1000
036ef581-6647-469f-83a0-13c19bf0b4a0	MX	815	Listado taxonómico de la ictiofauna de la costa de Michoacán	0.434782608695652	0.03	10	76	2018-09-13	1000
